treatment,replicate,wavenumber,absorbance
trt1,rep2,9.430203E+02,2.20E-02
trt1,rep2,9.449487E+02,2.32E-02
trt1,rep2,9.468772E+02,2.43E-02
trt1,rep2,9.488057E+02,2.58E-02
trt1,rep2,9.507341E+02,2.73E-02
trt1,rep2,9.526626E+02,2.91E-02
trt1,rep2,9.545911E+02,3.08E-02
trt1,rep2,9.565195E+02,3.26E-02
trt1,rep2,9.584480E+02,3.43E-02
trt1,rep2,9.603765E+02,3.63E-02
trt1,rep2,9.623049E+02,3.85E-02
trt1,rep2,9.642334E+02,4.06E-02
trt1,rep2,9.661619E+02,4.26E-02
trt1,rep2,9.680903E+02,4.45E-02
trt1,rep2,9.700188E+02,4.65E-02
trt1,rep2,9.719473E+02,4.88E-02
trt1,rep2,9.738757E+02,5.09E-02
trt1,rep2,9.758042E+02,5.34E-02
trt1,rep2,9.777327E+02,5.65E-02
trt1,rep2,9.796611E+02,6.01E-02
trt1,rep2,9.815896E+02,6.35E-02
trt1,rep2,9.835181E+02,6.71E-02
trt1,rep2,9.854465E+02,7.05E-02
trt1,rep2,9.873750E+02,7.36E-02
trt1,rep2,9.893035E+02,7.59E-02
trt1,rep2,9.912319E+02,7.81E-02
trt1,rep2,9.931604E+02,8.00E-02
trt1,rep2,9.950889E+02,8.17E-02
trt1,rep2,9.970173E+02,8.34E-02
trt1,rep2,9.989458E+02,8.52E-02
trt1,rep2,1.000874E+03,8.70E-02
trt1,rep2,1.002803E+03,8.87E-02
trt1,rep2,1.004731E+03,9.04E-02
trt1,rep2,1.006660E+03,9.26E-02
trt1,rep2,1.008588E+03,9.46E-02
trt1,rep2,1.010517E+03,9.67E-02
trt1,rep2,1.012445E+03,9.87E-02
trt1,rep2,1.014374E+03,1.01E-01
trt1,rep2,1.016302E+03,1.03E-01
trt1,rep2,1.018230E+03,1.05E-01
trt1,rep2,1.020159E+03,1.07E-01
trt1,rep2,1.022087E+03,1.09E-01
trt1,rep2,1.024016E+03,1.10E-01
trt1,rep2,1.025944E+03,1.11E-01
trt1,rep2,1.027873E+03,1.12E-01
trt1,rep2,1.029801E+03,1.13E-01
trt1,rep2,1.031730E+03,1.13E-01
trt1,rep2,1.033658E+03,1.13E-01
trt1,rep2,1.035587E+03,1.12E-01
trt1,rep2,1.037515E+03,1.12E-01
trt1,rep2,1.039444E+03,1.11E-01
trt1,rep2,1.041372E+03,1.10E-01
trt1,rep2,1.043301E+03,1.10E-01
trt1,rep2,1.045229E+03,1.10E-01
trt1,rep2,1.047157E+03,1.11E-01
trt1,rep2,1.049086E+03,1.11E-01
trt1,rep2,1.051014E+03,1.12E-01
trt1,rep2,1.052943E+03,1.11E-01
trt1,rep2,1.054871E+03,1.10E-01
trt1,rep2,1.056800E+03,1.09E-01
trt1,rep2,1.058728E+03,1.07E-01
trt1,rep2,1.060657E+03,1.06E-01
trt1,rep2,1.062585E+03,1.03E-01
trt1,rep2,1.064514E+03,1.01E-01
trt1,rep2,1.066442E+03,9.84E-02
trt1,rep2,1.068371E+03,9.59E-02
trt1,rep2,1.070299E+03,9.36E-02
trt1,rep2,1.072228E+03,9.19E-02
trt1,rep2,1.074156E+03,9.02E-02
trt1,rep2,1.076084E+03,8.89E-02
trt1,rep2,1.078013E+03,8.75E-02
trt1,rep2,1.079941E+03,8.64E-02
trt1,rep2,1.081870E+03,8.56E-02
trt1,rep2,1.083798E+03,8.55E-02
trt1,rep2,1.085727E+03,8.55E-02
