treatment,replicate,wavenumber,absorbance
trt1,rep1,9.160604E+02,5.94E-02
trt1,rep1,9.179890E+02,5.97E-02
trt1,rep1,9.199175E+02,6.01E-02
trt1,rep1,9.218460E+02,6.06E-02
trt1,rep1,9.237746E+02,6.11E-02
trt1,rep1,9.257031E+02,6.16E-02
trt1,rep1,9.276317E+02,6.21E-02
trt1,rep1,9.295602E+02,6.26E-02
trt1,rep1,9.314888E+02,6.32E-02
trt1,rep1,9.334173E+02,6.38E-02
trt1,rep1,9.353459E+02,6.44E-02
trt1,rep1,9.372744E+02,6.51E-02
trt1,rep1,9.392029E+02,6.57E-02
trt1,rep1,9.411315E+02,6.65E-02
trt1,rep1,9.430601E+02,6.73E-02
trt1,rep1,9.449886E+02,6.82E-02
trt1,rep1,9.469172E+02,6.92E-02
trt1,rep1,9.488457E+02,7.04E-02
trt1,rep1,9.507742E+02,7.15E-02
trt1,rep1,9.527028E+02,7.28E-02
trt1,rep1,9.546313E+02,7.41E-02
trt1,rep1,9.565599E+02,7.56E-02
trt1,rep1,9.584885E+02,7.70E-02
trt1,rep1,9.604170E+02,7.86E-02
trt1,rep1,9.623455E+02,8.02E-02
trt1,rep1,9.642741E+02,8.19E-02
trt1,rep1,9.662026E+02,8.35E-02
trt1,rep1,9.681312E+02,8.50E-02
trt1,rep1,9.700598E+02,8.66E-02
trt1,rep1,9.719883E+02,8.83E-02
trt1,rep1,9.739168E+02,9.03E-02
trt1,rep1,9.758454E+02,9.27E-02
trt1,rep1,9.777739E+02,9.53E-02
trt1,rep1,9.797025E+02,9.81E-02
trt1,rep1,9.816310E+02,1.01E-01
trt1,rep1,9.835596E+02,1.05E-01
trt1,rep1,9.854881E+02,1.08E-01
trt1,rep1,9.874167E+02,1.10E-01
trt1,rep1,9.893452E+02,1.12E-01
trt1,rep1,9.912737E+02,1.14E-01
trt1,rep1,9.932023E+02,1.15E-01
trt1,rep1,9.951309E+02,1.16E-01
trt1,rep1,9.970594E+02,1.17E-01
trt1,rep1,9.989880E+02,1.19E-01
trt1,rep1,1.000917E+03,1.20E-01
trt1,rep1,1.002845E+03,1.22E-01
trt1,rep1,1.004774E+03,1.24E-01
trt1,rep1,1.006702E+03,1.26E-01
trt1,rep1,1.008631E+03,1.27E-01
trt1,rep1,1.010559E+03,1.29E-01
trt1,rep1,1.012488E+03,1.31E-01
trt1,rep1,1.014416E+03,1.32E-01
trt1,rep1,1.016345E+03,1.34E-01
trt1,rep1,1.018273E+03,1.36E-01
trt1,rep1,1.020202E+03,1.38E-01
trt1,rep1,1.022131E+03,1.39E-01
trt1,rep1,1.024059E+03,1.40E-01
trt1,rep1,1.025988E+03,1.42E-01
trt1,rep1,1.027916E+03,1.43E-01
trt1,rep1,1.029845E+03,1.43E-01
trt1,rep1,1.031773E+03,1.43E-01
trt1,rep1,1.033702E+03,1.43E-01
trt1,rep1,1.035630E+03,1.43E-01
trt1,rep1,1.037559E+03,1.42E-01
trt1,rep1,1.039487E+03,1.41E-01
trt1,rep1,1.041416E+03,1.40E-01
trt1,rep1,1.043345E+03,1.40E-01
trt1,rep1,1.045273E+03,1.40E-01
trt1,rep1,1.047202E+03,1.40E-01
trt1,rep1,1.049130E+03,1.41E-01
trt1,rep1,1.051059E+03,1.41E-01
trt1,rep1,1.052987E+03,1.41E-01
trt1,rep1,1.054916E+03,1.40E-01
trt1,rep1,1.056844E+03,1.39E-01
trt1,rep1,1.058773E+03,1.37E-01
trt1,rep1,1.060702E+03,1.35E-01
trt1,rep1,1.062630E+03,1.33E-01
trt1,rep1,1.064559E+03,1.31E-01
trt1,rep1,1.066487E+03,1.28E-01
trt1,rep1,1.068416E+03,1.26E-01
trt1,rep1,1.070344E+03,1.24E-01
trt1,rep1,1.072273E+03,1.22E-01
trt1,rep1,1.074201E+03,1.21E-01
trt1,rep1,1.076130E+03,1.19E-01
trt1,rep1,1.078058E+03,1.18E-01
trt1,rep1,1.079987E+03,1.16E-01
trt1,rep1,1.081916E+03,1.15E-01
trt1,rep1,1.083844E+03,1.15E-01
trt1,rep1,1.085773E+03,1.15E-01
trt1,rep1,1.087701E+03,1.15E-01
trt1,rep1,1.089630E+03,1.15E-01
trt1,rep1,1.091558E+03,1.15E-01
trt1,rep1,1.093487E+03,1.15E-01
trt1,rep1,1.095415E+03,1.15E-01
trt1,rep1,1.097344E+03,1.15E-01
trt1,rep1,1.099272E+03,1.14E-01
trt1,rep1,1.101201E+03,1.13E-01
trt1,rep1,1.103130E+03,1.12E-01
trt1,rep1,1.105058E+03,1.10E-01
trt1,rep1,1.106987E+03,1.08E-01
trt1,rep1,1.108915E+03,1.06E-01
trt1,rep1,1.110844E+03,1.03E-01
trt1,rep1,1.112772E+03,1.00E-01
trt1,rep1,1.114701E+03,9.79E-02
trt1,rep1,1.116629E+03,9.56E-02
trt1,rep1,1.118558E+03,9.36E-02
trt1,rep1,1.120486E+03,9.16E-02
trt1,rep1,1.122415E+03,9.00E-02
trt1,rep1,1.124344E+03,8.83E-02
trt1,rep1,1.126272E+03,8.63E-02
trt1,rep1,1.128201E+03,8.44E-02
trt1,rep1,1.130129E+03,8.27E-02
trt1,rep1,1.132058E+03,8.10E-02
trt1,rep1,1.133986E+03,7.98E-02
trt1,rep1,1.135915E+03,7.89E-02
trt1,rep1,1.137843E+03,7.82E-02
trt1,rep1,1.139772E+03,7.79E-02
trt1,rep1,1.141701E+03,7.80E-02
trt1,rep1,1.143629E+03,7.81E-02
trt1,rep1,1.145558E+03,7.84E-02
trt1,rep1,1.147486E+03,7.88E-02
trt1,rep1,1.149415E+03,7.92E-02
trt1,rep1,1.151343E+03,7.96E-02
trt1,rep1,1.153272E+03,8.00E-02
trt1,rep1,1.155200E+03,8.01E-02
trt1,rep1,1.157129E+03,7.99E-02
trt1,rep1,1.159057E+03,7.94E-02
trt1,rep1,1.160986E+03,7.87E-02
